9510021233	Provedor001	1.137,12	17/03/21	B28078020	18-2021	000000001	email001@Provedor.com	Contacto001, Clara Valeria
FRA-204389	Provedor002	5.337,98	11/03/21	A08099681	18-2021	000000002	email002@Provedor.com;email003@Provedor.com	Contacto002, David
7500503547	Provedor003	4.126,51	17/03/21	A79658845	18-2021	000000003		Contacto003, Maria Isabel
20211927	Provedor004	1.049,60	17/03/21	A35119015	18-2021	000000004	email004@Provedor.com	Contacto004, Juan
20211928	Provedor004	5.340,00	17/03/21	A35119015	18-2021	000000004	email004@Provedor.com	Contacto004, Juan
20211932	Provedor004	15,03	17/03/21	A35119015	18-2021	000000004	email004@Provedor.com	Contacto004, Juan
20211936	Provedor004	262,65	17/03/21	A35119015	18-2021	000000004	email004@Provedor.com	Contacto004, Juan
20211939	Provedor004	9.666,01	17/03/21	A35119015	18-2021	000000004	email004@Provedor.com	Contacto004, Juan
20211951	Provedor004	175,10	18/03/21	A35119015	18-2021	Telefono004	email004@Provedor.com	Contacto004, Juan
21004888	Provedor005	1.040,00	15/03/21	A33620485	18-2021	0		Contacto005, Jose Antonio
21004889	Provedor005	6.695,30	15/03/21	A33620485	18-2021	0		Contacto005, Jose Antonio
21004891	Provedor005	1.040,00	15/03/21	A33620485	18-2021	0		Contacto005, Jose Antonio
9008412988	Provedor006	7.416,00	18/03/21	A08015836	18-2021	000000006	email006@Provedor.com	Contacto006, Cristina Belen
21000354	Provedor007	1.381,02	12/03/21	B66442781	18-2021	000000007	email007@Provedor.com	Contacto007, Joan
332584313	Provedor008	258,94	18/03/21	A61123782	18-2021	000000008	email008@Provedor.com;email009@Provedor.com	Contacto008, Mariano
332585206	Provedor008	245,39	19/03/21	A61123782	18-2021	000000008	email008@Provedor.com;email009@Provedor.com	Contacto008, Mariano
100156	Provedor009	7.560,00	18/03/21	A08000143	18-2021	000000009	email010@Provedor.com;email011@Provedor.com	Contacto009, Pepe
822C169868	Provedor010	682,00	18/03/21	B08193013	18-2021	000000010	email012@Provedor.com;email013@Provedor.com	Contacto010, Marcos
44101036	Provedor011	3.076,82	17/03/21	A28165587	18-2021	000000011	email014@Provedor.com	Contacto011, Esperanza
44101037	Provedor011	1.911,75	17/03/21	A28165587	18-2021	000000011	email014@Provedor.com	Contacto011, Esperanza
44101039	Provedor011	1.147,83	17/03/21	A28165587	18-2021	000000011	email014@Provedor.com	Contacto011, Esperanza
44101044	Provedor011	530,00	17/03/21	A28165587	18-2021	000000011	email014@Provedor.com	Contacto011, Esperanza
FS2103165	Provedor012	19.520,80	15/03/21	B98439821	18-2021	000000012	email015@Provedor.com	Contacto012, Maria Jose
7079091620	Provedor013	1.837,98	24/02/21	B61503355	18-2021	000000013	email016@Provedor.com	Contacto013, Ana/Felipe
7079092064	Provedor013	97.373,40	11/03/21	B61503355	18-2021	000000013	email016@Provedor.com	Contacto013, Ana/Felipe
7079092065	Provedor013	7.872,45	11/03/21	B61503355	18-2021	000000013	email016@Provedor.com	Contacto013, Ana/Felipe
7079092081	Provedor013	11.330,00	11/03/21	B61503355	18-2021	000000013	email016@Provedor.com	Contacto013, Ana/Felipe
2521163700	Provedor014	38.615,05	17/03/21	A08023145	18-2021	000000014	email017@Provedor.com	Contacto014, Pablo/Javier
3483480166	Provedor015	11.375,10	16/03/21	A08233801	18-2021	000000015		Contacto015, Miguel Angel
7001586223	Provedor016	838,40	16/03/21	A08163586	18-2021	000000016	email018@Provedor.com	Contacto016, Carolina
11527011	Provedor017	1.323,55	09/03/21	B83886176	18-2021	000000017	email019@Provedor.com	Contacto017, Andre
11527012	Provedor017	794,12	09/03/21	B83886176	18-2021	000000017	email019@Provedor.com	Contacto017, Andre
11527069	Provedor017	1.852,94	09/03/21	B83886176	18-2021	000000017	email019@Provedor.com	Contacto017, Andre
762	Provedor018	3.361,92	16/03/21	B35093590	18-2021	000000018		Contacto018, Gustavo 
819	Provedor018	2.442,65	18/03/21	B35093590	18-2021	000000018		Contacto018, Gustavo
